address;source_location;insn;indent
0x31d8;:0;LEA	(%R10,%RAX,1),%RDX;
0x31dc;:0;MOVUPD	(%RCX,%RAX,2),%XMM7;
0x31e1;:0;MOVUPD	0x10(%RCX,%RAX,2),%XMM4;
0x31e7;:0;ADD	$0x10,%RAX;
0x31eb;:0;MOVSXD	(%RDX),%R8;
0x31ee;:0;MOVSXD	0x4(%RDX),%RDI;
0x31f2;:0;MOVSD	(%RBX,%R8,8),%XMM0;
0x31f8;:0;MOVHPD	(%RBX,%RDI,8),%XMM0;
0x31fd;:0;MOVSXD	0x8(%RDX),%RDI;
0x3201;:0;MOVSXD	0xc(%RDX),%RDX;
0x3205;:0;MULPD	%XMM7,%XMM0;
0x3209;:0;MOVSD	(%RBX,%RDI,8),%XMM3;
0x320e;:0;MOVAPD	%XMM3,%XMM6;
0x3212;:0;MOVHPD	(%RBX,%RDX,8),%XMM6;
0x3217;:0;MOVAPD	%XMM6,%XMM5;
0x321b;:0;MULPD	%XMM4,%XMM5;
0x321f;:0;ADDPD	%XMM5,%XMM0;
0x3223;:0;ADDPD	%XMM0,%XMM2;
0x3227;:0;CMP	%RAX,%R9;
0x322a;:0;JNE	31d8 <_ZL9conj_gradPKiS0_PKdPdS2_S3_S3_S3_S3_+0x208>;
